dataset,strategy,rank,improvability,norm_score
hr_analytics_job_change_of_data_scientists,combined_catboost,8.0,5.8,0.0
hr_analytics_job_change_of_data_scientists,baseline_xgboost,9.0,8.1,0.0
hr_analytics_job_change_of_data_scientists,combined_xgboost,10.0,19.4,0.0
in_vehicle_coupon_recommendation,baseline_tabpfn,1.0,0.0,1.0
in_vehicle_coupon_recommendation,baseline_xgboost,2.0,1.6,0.772
in_vehicle_coupon_recommendation,baseline_catboost,3.0,2.2,0.688
in_vehicle_coupon_recommendation,baseline_lightgbm,4.0,2.6,0.626
in_vehicle_coupon_recommendation,combined_xgboost,5.0,6.1,0.092
in_vehicle_coupon_recommendation,combined_lightgbm,6.0,7.3,0.0
in_vehicle_coupon_recommendation,combined_catboost,7.0,9.4,0.0
in_vehicle_coupon_recommendation,embed-only_xgboost,8.0,17.1,0.0
in_vehicle_coupon_recommendation,embed-only_lightgbm,9.0,17.1,0.0
in_vehicle_coupon_recommendation,embed-only_catboost,10.0,18.8,0.0
is-this-a-good-customer,baseline_tabpfn,1.0,0.0,1.0
is-this-a-good-customer,baseline_lightgbm,2.0,0.9,0.934
is-this-a-good-customer,combined_catboost,3.0,5.4,0.597
is-this-a-good-customer,embed-only_lightgbm,4.0,9.8,0.229
is-this-a-good-customer,baseline_catboost,5.0,12.1,0.029
is-this-a-good-customer,combined_lightgbm,6.0,12.7,0.0
is-this-a-good-customer,baseline_xgboost,7.0,15.4,0.0
is-this-a-good-customer,combined_xgboost,8.0,19.2,0.0
is-this-a-good-customer,embed-only_catboost,9.0,21.4,0.0
is-this-a-good-customer,embed-only_xgboost,10.0,23.7,0.0
jm1,baseline_tabpfn,1.0,0.0,1.0
jm1,combined_xgboost,2.0,5.6,0.261
jm1,combined_lightgbm,3.0,6.1,0.184
jm1,embed-only_xgboost,4.0,6.7,0.102
jm1,embed-only_catboost,5.0,7.1,0.044
jm1,combined_catboost,6.0,7.7,0.0
jm1,embed-only_lightgbm,7.0,8.3,0.0
jm1,baseline_xgboost,8.0,13.5,0.0
jm1,baseline_lightgbm,9.0,14.7,0.0
jm1,baseline_catboost,10.0,15.8,0.0
kddcup09_appetency,combined_catboost,1.0,0.0,1.0
kddcup09_appetency,baseline_catboost,2.0,0.2,0.964
kddcup09_appetency,combined_xgboost,3.0,2.2,0.631
kddcup09_appetency,combined_lightgbm,4.0,4.7,0.165
kddcup09_appetency,baseline_xgboost,5.0,5.3,0.058
kddcup09_appetency,baseline_tabpfn,6.0,5.9,0.0
kddcup09_appetency,baseline_lightgbm,7.0,6.2,0.0
kddcup09_appetency,embed-only_catboost,8.0,7.4,0.0
kddcup09_appetency,embed-only_xgboost,9.0,9.8,0.0
kddcup09_appetency,embed-only_lightgbm,10.0,10.2,0.0
marketing_campaign,combined_lightgbm,1.0,0.0,1.0
marketing_campaign,embed-only_xgboost,2.0,4.3,0.674
marketing_campaign,baseline_tabpfn,3.0,7.7,0.393
marketing_campaign,combined_catboost,4.0,8.3,0.342
marketing_campaign,combined_xgboost,5.0,8.5,0.317
marketing_campaign,baseline_lightgbm,6.0,15.3,0.0
marketing_campaign,embed-only_lightgbm,7.0,17.2,0.0
marketing_campaign,embed-only_catboost,8.0,19.3,0.0
marketing_campaign,baseline_catboost,9.0,22.6,0.0
marketing_campaign,baseline_xgboost,10.0,31.6,0.0
maternal_health_risk,baseline_tabpfn,1.0,0.0,1.0
maternal_health_risk,baseline_lightgbm,2.0,13.5,0.312
maternal_health_risk,baseline_catboost,3.0,15.0,0.223
maternal_health_risk,baseline_xgboost,4.0,17.5,0.062
maternal_health_risk,combined_catboost,5.0,18.4,0.003
maternal_health_risk,embed-only_catboost,6.0,18.5,0.0
maternal_health_risk,combined_lightgbm,7.0,19.5,0.0
maternal_health_risk,embed-only_lightgbm,8.0,22.5,0.0
maternal_health_risk,embed-only_xgboost,9.0,22.8,0.0
maternal_health_risk,combined_xgboost,10.0,24.5,0.0
miami_housing,combined_catboost,1.0,0.0,1.0
miami_housing,combined_xgboost,2.0,1.2,0.53
miami_housing,combined_lightgbm,3.0,2.1,0.149
miami_housing,embed-only_lightgbm,4.0,2.2,0.114
miami_housing,baseline_tabpfn,5.0,2.4,0.011
miami_housing,baseline_catboost,6.0,2.5,0.0
miami_housing,embed-only_catboost,7.0,2.9,0.0
miami_housing,embed-only_xgboost,8.0,4.5,0.0
miami_housing,baseline_lightgbm,9.0,5.4,0.0
miami_housing,baseline_xgboost,10.0,6.2,0.0
mic,baseline_catboost,1.0,0.0,1.0
mic,combined_catboost,2.0,1.1,0.384
mic,combined_xgboost,3.0,1.2,0.338
