dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,feat_share_embedded_pct,feat_share_raw_pct,primary_metric,eval_primary_value,tabpfn_primary_score,eval_primary_delta_pct
coil2000_insurance_policies,binary,lightgbm,combined,9822,85,57,142,53.03413962566258,46.96586037433747,1-AUROC,0.243067118067118,0.2276288526288526,6.782209399191283
coil2000_insurance_policies,binary,xgboost,combined,9822,85,57,142,71.29628623927796,28.703713760722074,1-AUROC,0.2404401154401154,0.2276288526288526,5.628136619460736
concrete_compressive_strength,regression,catboost,combined,1030,8,78,86,97.12970473380192,2.87029526619808,RMSE,3.456598720293972,3.1551885755220592,9.552840901816491
concrete_compressive_strength,regression,lightgbm,combined,1030,8,78,86,75.7132995529925,24.28670044700753,RMSE,3.654003621627453,3.1551885755220592,15.80935763951478
concrete_compressive_strength,regression,xgboost,combined,1030,8,78,86,91.27355251736562,8.726447482634397,RMSE,3.79127827597569,3.1551885755220592,20.160116748279712
credit-g,binary,catboost,combined,1000,20,42,62,72.49523631291706,27.504763687082946,1-AUROC,0.2491666666666666,0.2269047619047619,9.811122770199344
credit-g,binary,lightgbm,combined,1000,20,42,62,61.64878293335149,38.35121706664852,1-AUROC,0.2377380952380952,0.2269047619047619,4.774396642182544
credit-g,binary,xgboost,combined,1000,20,42,62,76.39343525381479,23.606564746185207,1-AUROC,0.2561904761904761,0.2269047619047619,12.906610703042954
credit_card_clients_default,binary,catboost,combined,30000,23,23,46,32.10697528756694,67.89302471243305,1-AUROC,0.217349954548174,0.2132596933658718,1.9179719888675584
credit_card_clients_default,binary,lightgbm,combined,30000,23,23,46,46.23832269810335,53.761677301896654,1-AUROC,0.2164315648054988,0.2132596933658718,1.487328144182096
credit_card_clients_default,binary,xgboost,combined,30000,23,23,46,35.69359085563528,64.30640914436471,1-AUROC,0.2179282417504976,0.2132596933658718,2.1891377179354694
customer_satisfaction_in_airline,binary,catboost,combined,129880,21,33,54,56.12370171542909,43.8762982845709,1-AUROC,0.0053522927037703,0.0047732292385904,12.131482403951798
customer_satisfaction_in_airline,binary,lightgbm,combined,129880,21,33,54,54.02612233444881,45.97387766555119,1-AUROC,0.0051329452708176,0.0047732292385904,7.536114740078963
customer_satisfaction_in_airline,binary,xgboost,combined,129880,21,33,54,51.95876206343297,48.04123793656702,1-AUROC,0.0052791429967189,0.0047732292385904,10.598983054035536
diabetes,binary,catboost,combined,768,8,32,40,64.04518526930002,35.95481473069997,1-AUROC,0.1559259259259259,0.132037037037037,18.09256661991581
diabetes,binary,lightgbm,combined,768,8,32,40,31.084136760476586,68.9158632395234,1-AUROC,0.1338888888888889,0.132037037037037,1.4025245441795458
diabetes,binary,xgboost,combined,768,8,32,40,45.05820975149479,54.94179024850519,1-AUROC,0.1466666666666666,0.132037037037037,11.079943899018168
diabetes130us,binary,lightgbm,combined,71518,47,38,85,27.8960098537368,72.1039901462632,1-AUROC,0.3296331419528722,0.3230827121003211,2.027477672812485
diabetes130us,binary,xgboost,combined,71518,47,38,85,46.6342414747523,53.36575852524769,1-AUROC,0.3655630247956377,0.3230827121003211,13.14843261626637
diabetes130us,binary,catboost,combined,71518,47,38,85,57.22587174360963,42.774128256390384,1-AUROC,0.3221641589524378,0.3230827121003211,-0.284308975219367
diamonds,regression,catboost,combined,53940,9,29,38,35.278591760628565,64.72140823937143,RMSE,472.8457807246591,474.1404367703237,-0.2730532865923236
diamonds,regression,lightgbm,combined,53940,9,29,38,36.051778695225785,63.94822130477422,RMSE,473.704318780347,474.1404367703237,-0.0919807626928705
diamonds,regression,xgboost,combined,53940,9,29,38,37.07632281260639,62.92367718739361,RMSE,472.1960087511742,474.1404367703237,-0.4100953785748031
e-commereshippingdata,binary,catboost,combined,10999,10,11,21,59.75185767297121,40.2481423270288,1-AUROC,0.2600162626617357,0.2576305284678151,0.9260293056529874
e-commereshippingdata,binary,lightgbm,combined,10999,10,11,21,55.605889117401006,44.394110882599016,1-AUROC,0.2467219230812163,0.2576305284678151,-4.234205259553137
e-commereshippingdata,binary,xgboost,combined,10999,10,11,21,66.30566194452163,33.69433805547836,1-AUROC,0.2559110997388872,0.2576305284678151,-0.6674010021846585
fitness_club,binary,catboost,combined,1500,6,15,21,62.49543296059744,37.50456703940257,1-AUROC,0.2010620957989378,0.1838161838161838,9.38215102974826
fitness_club,binary,lightgbm,combined,1500,6,15,21,44.5167896980476,55.48321030195241,1-AUROC,0.2000630947999369,0.1838161838161838,8.838672768878714
fitness_club,binary,xgboost,combined,1500,6,15,21,39.00557580343158,60.99442419656842,1-AUROC,0.2098427887901572,0.1838161838161838,14.15903890160187
food_delivery_time,regression,catboost,combined,45451,9,34,43,92.80787894815974,7.192121051840252,RMSE,7.303375450343187,7.406528158962125,-1.392726881003219
food_delivery_time,regression,lightgbm,combined,45451,9,34,43,90.52460663812,9.475393361879991,RMSE,7.29944580988175,7.406528158962125,-1.4457833249550598
food_delivery_time,regression,xgboost,combined,45451,9,34,43,72.50117823352022,27.49882176647976,RMSE,7.379796309786091,7.406528158962125,-0.3609228048864955
